branch_id,status,total_cost,service_level,inflows
branch_0,heuristic,366457.79225429177,0.95,1000
branch_1,heuristic,345037.7922542918,0.8999999999999999,900.0
branch_0,heuristic,366457.79225429177,0.95,1000
branch_1,heuristic,345037.7922542918,0.8999999999999999,900.0
branch_0,heuristic,366457.79225429177,0.95,1000
branch_1,heuristic,345037.7922542918,0.8999999999999999,900.0
branch_0,heuristic,366457.79225429177,1000,,0.95
branch_1,heuristic,345037.7922542918,900.0,,0.8999999999999999
branch_2,heuristic,383778.3298393179,1000.0,1.2,0.98
branch_3,heuristic,387877.79225429206,1100.0,,0.95
branch_4,heuristic,402498.3298393178,1200.0000000000002,1.2,0.8999999999999999
branch_0,heuristic,366457.79225429177,1000,,0.95
branch_1,heuristic,345037.7922542918,900.0,,0.8999999999999999
branch_2,heuristic,383778.3298393179,1000.0,1.2,0.98
branch_3,heuristic,387877.79225429206,1100.0,,0.95
branch_4,heuristic,402498.3298393178,1200.0000000000002,1.2,0.8999999999999999
branch_5,heuristic,323617.792254292,800.0,,0.98
branch_6,heuristic,368598.329839318,900.0,1.2,0.95
branch_7,heuristic,366457.79225429177,1000.0,,0.8999999999999999
branch_0,heuristic,366457.79225429177,,
branch_1,heuristic,366457.79225429177,,0.8999999999999999
branch_2,heuristic,383778.3298393179,1.2,0.98
branch_3,heuristic,366457.79225429177,,
branch_4,heuristic,383778.3298393179,1.2,0.8999999999999999
branch_0,heuristic,366457.79225429177,,
branch_1,heuristic,366457.79225429177,,0.8999999999999999
branch_2,heuristic,383778.3298393179,1.2,0.98
branch_3,heuristic,366457.79225429177,,
branch_4,heuristic,383778.3298393179,1.2,0.8999999999999999
branch_0,heuristic,366457.79225429177,,
branch_1,heuristic,366457.79225429177,,0.8999999999999999
branch_2,heuristic,383778.3298393179,1.2,0.98
branch_3,heuristic,366457.79225429177,,
branch_4,heuristic,383778.3298393179,1.2,0.8999999999999999
